Species 1,Species 2,Dist,type
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},0.0000,intraspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},0.0000,intraspecific
MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},0.0000,intraspecific
MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},0.0000,intraspecific
MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},0.0000,intraspecific
MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},0.0000,intraspecific
MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},0.0000,intraspecific
MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},0.0000,intraspecific
MK249367.1 Pristina aequiseta Pristinaaequiseta8_{Pristina aequiseta},MK249365.1 Pristina aequiseta Pristinaaequiseta6_{Pristina aequiseta},0.0018,intraspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},0.0018,intraspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},0.0018,intraspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},0.0018,intraspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},0.0018,intraspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},0.0018,intraspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},0.0018,intraspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},0.0018,intraspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},0.0018,intraspecific
AF534852.1 Pristina aequiseta PRIaecm_{Pristina aequiseta},AF534851.1 Pristina aequiseta PRIaefd_{Pristina aequiseta},0.0078,intraspecific
MK249365.1 Pristina aequiseta Pristinaaequiseta6_{Pristina aequiseta},AF534852.1 Pristina aequiseta PRIaecm_{Pristina aequiseta},0.0484,intraspecific
MK249365.1 Pristina aequiseta Pristinaaequiseta6_{Pristina aequiseta},AF534851.1 Pristina aequiseta PRIaefd_{Pristina aequiseta},0.0484,intraspecific
MK249367.1 Pristina aequiseta Pristinaaequiseta8_{Pristina aequiseta},AF534852.1 Pristina aequiseta PRIaecm_{Pristina aequiseta},0.0502,intraspecific
MK249367.1 Pristina aequiseta Pristinaaequiseta8_{Pristina aequiseta},AF534851.1 Pristina aequiseta PRIaefd_{Pristina aequiseta},0.0502,intraspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},MK249365.1 Pristina aequiseta Pristinaaequiseta6_{Pristina aequiseta},0.0735,intraspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},MK249365.1 Pristina aequiseta Pristinaaequiseta6_{Pristina aequiseta},0.0735,intraspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},AF534851.1 Pristina aequiseta PRIaefd_{Pristina aequiseta},0.0753,intraspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},AF534851.1 Pristina aequiseta PRIaefd_{Pristina aequiseta},0.0753,intraspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},MK249367.1 Pristina aequiseta Pristinaaequiseta8_{Pristina aequiseta},0.0753,intraspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},MK249367.1 Pristina aequiseta Pristinaaequiseta8_{Pristina aequiseta},0.0753,intraspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},AF534852.1 Pristina aequiseta PRIaecm_{Pristina aequiseta},0.0789,intraspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},AF534852.1 Pristina aequiseta PRIaecm_{Pristina aequiseta},0.0789,intraspecific
AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},AF534853.1 Pristina leidyi PRIlecbc_{Pristina leidyi},0.0841,interspecific
AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.0867,intraspecific
AF534853.1 Pristina leidyi PRIlecbc_{Pristina leidyi},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.0963,interspecific
MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1004,interspecific
MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1004,interspecific
MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1004,interspecific
MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1004,interspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1022,interspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1022,interspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1058,interspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1058,interspecific
MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1093,interspecific
MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1093,interspecific
MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1093,interspecific
MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1093,interspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},AF534853.1 Pristina leidyi PRIlecbc_{Pristina leidyi},0.1093,interspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},AF534853.1 Pristina leidyi PRIlecbc_{Pristina leidyi},0.1093,interspecific
MK249363.1 Pristina foreli Pristinaforeli4_{Pristina foreli},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1095,interspecific
MK249362.1 Pristina foreli Pristinaforeli3_{Pristina foreli},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1095,interspecific
MK249361.1 Pristina foreli Pristinaforeli2_{Pristina foreli},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1095,interspecific
MK249360.1 Pristina foreli Pristinaforeli1_{Pristina foreli},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1095,interspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1111,intraspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},GQ355374.1 Pristina aequiseta_{Pristina aequiseta},0.1111,intraspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1111,interspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1111,interspecific
MK249364.1 Pristina foreli Pristinaforeli5_{Pristina foreli},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1113,interspecific
OL374056.1 Pristina foreli voucher PF1_{Pristina foreli},GU902108.1 Pristina longiseta CE1588_{Pristina longiseta},0.1113,interspecific
MK249368.1 Pristina aequiseta Pristinaaequiseta9_{Pristina aequiseta},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1129,interspecific
MK249366.1 Pristina aequiseta Pristinaaequiseta7_{Pristina aequiseta},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1129,interspecific
GQ355374.1 Pristina aequiseta_{Pristina aequiseta},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1144,interspecific
GQ355374.1 Pristina aequiseta_{Pristina aequiseta},AF534853.1 Pristina leidyi PRIlecbc_{Pristina leidyi},0.1144,interspecific
AF534851.1 Pristina aequiseta PRIaefd_{Pristina aequiseta},AF534854.1 Pristina longiseta PRIloge_{Pristina longiseta},0.1154,interspecific
