Species 1,Species 2,Dist,type
AF054193 Nais barbata_{Nais barbata},AF534841 Nais variabilis NAIvaov_{Nais variabilis},0.1049,interspecific
AF054193 Nais barbata_{Nais barbata},AF534842 Nais variabilis NAIvacm_{Nais variabilis},0.1101,interspecific
AF054193 Nais barbata_{Nais barbata},AF534844 Nais variabilis NAI1bo_{Nais variabilis},0.1058,interspecific
AF054193 Nais barbata_{Nais barbata},AF534845 Nais communis NAI2fd_{Nais communis},0.1434,interspecific
AF054193 Nais barbata_{Nais barbata},GQ355370 Nais variabilis_{Nais variabilis},0.1101,interspecific
AF054193 Nais barbata_{Nais barbata},GU902104 Nais alpina CE529_{Nais alpina},0.0927,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519821 Nais sp. morphotype B CE1129_{B},0.1643,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519822 Nais sp. morphotype B CE1130_{B},0.1643,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519823 Nais sp. morphotype B CE1131_{B},0.1643,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519824 Nais christinae CE1133_{Nais christinae},0.1119,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519825 Nais sp. morphotype A2 CE1142_{A1+2},0.1696,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519826 Nais sp. morphotype A2 CE1143_{A1+2},0.1705,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519827 Nais sp. morphotype A3 CE1144_{A3},0.1434,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519828 Nais sp. morphotype A2 CE1145_{A1+2},0.1696,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519829 Nais sp. morphotype C CE1146_{C},0.1538,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519830 Nais sp. morphotype C CE1147_{C},0.1538,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519831 Nais sp. morphotype C CE1149_{C},0.1538,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519832 Nais sp. morphotype A2 CE1150_{A1+2},0.1696,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519833 Nais sp. morphotype C CE1151_{C},0.1538,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519834 Nais sp. morphotype A3 CE1152_{A3},0.1434,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519835 Nais sp. morphotype A3 CE1153_{A3},0.1434,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519836 Nais sp. morphotype C CE1155_{C},0.1538,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519837 Nais christinae CE1161_{Nais christinae},0.1119,interspecific
AF054193 Nais barbata_{Nais barbata},JQ519838 Nais sp. morphotype A2 CE1173_{A1+2},0.1696,interspecific
